Episode,Action,Probability,Done
29,18,0.99,False
29,16,0.596,False
29,19,0.297,False
29,10,0.0,False
29,2,0.0,False
29,10,0.23800000000000002,False
29,9,0.389,False
29,19,0.13699999999999998,False
29,1,0.033,True
30,19,0.0,True
